Egg Number,Width,Height,Egg Shape Index,Sphericity,Eccentricity,Sex
398,934,734,0.7858672377,0.6471221833,0.6183952496,1
399,1046,737,0.7045889101,0.4663866887,0.7096157183,0
400,968,740,0.7644628099,0.5956728746,0.6446678309,0
401,980,779,0.7948979592,0.6696885637,0.6067431372,1
402,988,728,0.7368421053,0.5334110901,0.6760648726,0
403,1103,744,0.6745240254,0.4091956478,0.7382528965,0
404,959,740,0.771637122,0.612601526,0.6360630094,1
405,990,776,0.7838383838,0.6421231339,0.6209648847,1
406,976,759,0.7776639344,0.6270679603,0.6286802089,1
407,1071,725,0.6769374416,0.413603632,0.736040556,0
408,945,686,0.7259259259,0.5100534133,0.6877728913,0
409,984,760,0.7723577236,0.6143193827,0.6351878044,1
410,1035,749,0.7236714976,0.5053161055,0.6901445961,0
411,1016,761,0.749015748,0.5602883381,0.6625521936,0
412,1024,752,0.734375,0.5280710856,0.6787439572,0
413,1030,736,0.7145631068,0.4864749762,0.6995709874,0
414,939,772,0.8221512247,0.7409584597,0.5692691487,1
415,1026,762,0.7426900585,0.5462124165,0.6696353314,0
416,1067,776,0.7272727273,0.5128975707,0.686348585,0
417,1002,712,0.7105788423,0.4783827961,0.7036175871,0
418,979,736,0.7517875383,0.5665315547,0.6594054119,0
419,1056,738,0.6988636364,0.4551096744,0.715254932,0
420,1017,711,0.6991150442,0.4556010119,0.7150091992,0
421,1000,734,0.734,0.5272625387,0.6791494681,0
422,937,772,0.8239060832,0.7457132588,0.566726359,1
423,1029,732,0.7113702624,0.4799829996,0.702817437,0
424,994,746,0.7505030181,0.56363255,0.6608670213,0
425,1025,757,0.7385365854,0.5370995382,0.6742134025,0
426,942,725,0.7696390658,0.6078550763,0.6384792153,1
427,1081,795,0.7354301573,0.5303505709,0.6776005341,0
428,1011,737,0.7289812067,0.516520703,0.6845337101,0
429,959,753,0.7851929093,0.6454577856,0.6192512376,1
430,1027,776,0.7555988315,0.5751916457,0.65503466,0
431,1016,752,0.7401574803,0.540643685,0.6724335687,0
432,974,735,0.7546201232,0.5729594453,0.6561619234,0
433,977,738,0.7553735926,0.5746774168,0.6552943885,0
434,1021,747,0.7316356513,0.5221837056,0.6816958807,0
435,1001,727,0.7262737263,0.5107868838,0.6874056114,0
436,1034,727,0.7030947776,0.4634259543,0.7110961495,0
437,973,748,0.7687564234,0.6057661611,0.6395416808,1
438,936,744,0.7948717949,0.6696224369,0.6067774137,1
439,1057,791,0.7483443709,0.5587830517,0.6633104119,0
440,985,744,0.7553299492,0.5745778128,0.6553446939,0
441,1003,764,0.7617148554,0.5892722819,0.6479124007,0
442,965,732,0.7585492228,0.5819558521,0.6516157431,0
443,1017,758,0.7453294002,0.5520564581,0.6666963966,0
444,979,734,0.7497446374,0.5619256297,0.6617272691,0
445,1037,787,0.7589199614,0.5828095566,0.6511839158,0
446,870,706,0.8114942529,0.7125167559,0.5843604004,1
447,1038,764,0.7360308285,0.5316511429,0.6769480183,0
448,1022,741,0.7250489237,0.5082070356,0.6886973633,0
449,936,764,0.8162393162,0.7250889156,0.5777139246,1
450,1037,750,0.7232401157,0.5044129846,0.6905966515,0
451,1064,727,0.6832706767,0.4253212537,0.7301651747,0
452,992,718,0.7237903226,0.5055650612,0.6900199772,0
453,1011,770,0.7616221563,0.5890571683,0.6480213662,0
454,941,749,0.7959617428,0.6723808246,0.6053469286,1
455,1061,742,0.6993402451,0.456041432,0.714788935,0
456,1002,742,0.7405189621,0.5414361986,0.6720354654,0
457,979,725,0.7405515832,0.5415077554,0.6719995183,0
458,962,761,0.7910602911,0.6600357981,0.6117381923,1
459,1018,713,0.7003929273,0.4581039032,0.713757485,0
460,1009,748,0.7413280476,0.5432128458,0.6711428506,0
461,1067,797,0.7469540769,0.5556744682,0.6648756328,0
462,927,738,0.7961165049,0.6727731019,0.6051433803,1
